Satellite passes / Orbitron 3.71 / www.stoff.pl

Location      : HN (105.5239° E, 20.9798° N)
Time zone     : UTC +7:00
Search period : 2023-11-06 08:18:48 - 1 days
                2023-11-07 08:18:48
Conditions    : Maximum sun elevation = None
                Minimum sat elevation = 15 deg
                Illumination NOT required

Time                Satellite              Azm  Elv  Mag Range S.Azm S.Elv
2023-11-07 03:39:56 YAOGAN-31 E          269.2 15.0  ecl  1900 142.2  44.7
2023-11-07 03:43:10 YAOGAN-31 E          304.3 20.8  ecl  1900 142.2  44.7
2023-11-07 03:46:26 YAOGAN-31 E          339.4 15.0  ecl  1900 142.2  44.7

2023-11-07 03:53:42 57626_OBJECT A       309.5 15.0  ecl  1900 142.2  44.7
2023-11-07 03:57:53 57626_OBJECT A       224.0 79.4  ecl  1900 142.2  44.7
2023-11-07 04:02:04 57626_OBJECT A       138.4 15.0  ecl  1900 142.2  44.7

2023-11-07 03:58:47 YAOGAN-30 P          330.8 15.0  ecl  1900 142.2  44.7
2023-11-07 04:01:32 YAOGAN-30 P           21.0 26.9  ecl  1900 142.2  44.7
2023-11-07 04:04:18 YAOGAN-30 P           71.0 15.0  ecl  1900 142.2  44.7

2023-11-07 04:06:44 YUNHAI 2 3           277.2 15.0  ecl  1900 142.2  44.7
2023-11-07 04:09:49 YUNHAI 2 3           319.2 23.3  ecl  1900 142.2  44.7
2023-11-07 04:12:54 YUNHAI 2 3             1.2 15.0  ecl  1900 142.2  44.7

2023-11-07 04:34:32 57629_OBJECT D       284.9 15.0  ecl  1900 142.2  44.7
2023-11-07 04:38:03 57629_OBJECT D       227.5 33.2  ecl  1900 142.2  44.7
2023-11-07 04:41:34 57629_OBJECT D       169.9 15.0  ecl  1900 142.2  44.7

2023-11-07 05:06:13 57628_OBJECT C       257.5 15.0  ecl  1900 142.2  44.7
2023-11-07 05:08:10 57628_OBJECT C       229.4 18.4  ecl  1900 142.2  44.7
2023-11-07 05:10:07 57628_OBJECT C       201.3 15.0  ecl  1900 142.2  44.7

2023-11-07 05:17:13 LT-1 O1A              74.7 15.0  ecl  1900 142.2  44.7
2023-11-07 05:18:33 LT-1 O1A              97.4 17.1  ecl  1900 142.2  44.7
2023-11-07 05:19:53 LT-1 O1A             120.1 15.0  ecl  1900 142.2  44.7

2023-11-07 05:19:59 YAOGAN-30 V          219.7 15.0  ecl  1900 142.2  44.7
2023-11-07 05:23:26 YAOGAN-30 V          146.6 51.6  ecl  1900 142.2  44.7
2023-11-07 05:26:54 YAOGAN-30 V           73.6 15.0  ecl  1900 142.2  44.7

2023-11-07 05:40:04 YAOGAN-30 P          292.8 15.0  ecl  1900 142.2  44.7
2023-11-07 05:43:38 YAOGAN-30 P          212.2 66.9  ecl  1900 142.2  44.7
2023-11-07 05:47:12 YAOGAN-30 P          131.5 15.0  ecl  1900 142.2  44.7

2023-11-07 05:41:05 57519_OBJECT A        40.9 15.0  ecl  1900 142.2  44.7
2023-11-07 05:43:36 57519_OBJECT A        99.0 32.1  ecl  1900 142.2  44.7
2023-11-07 05:46:05 57519_OBJECT A       157.0 15.0  ecl  1900 142.2  44.7

2023-11-07 05:49:29 YAOGAN-37              1.7 15.0  ecl  1900 142.2  44.7
2023-11-07 05:51:08 YAOGAN-37             32.5 18.8  ecl  1900 142.2  44.7
2023-11-07 05:52:48 YAOGAN-37             63.3 15.0  ecl  1900 142.2  44.7

2023-11-07 06:02:25 LT-1 O1B              15.6 15.0  ecl  1900 142.2  44.7
2023-11-07 06:05:53 LT-1 O1B             101.5 78.0  ecl  1900 142.2  44.7
2023-11-07 06:09:21 LT-1 O1B             187.2 15.0  ecl  1900 142.2  44.7

2023-11-07 06:32:04 YUNHAI 1-02           38.8 15.0  ecl  1900 142.2  44.7
2023-11-07 06:35:50 YUNHAI 1-02           99.8 36.3  ecl  1900 142.2  44.7
2023-11-07 06:39:35 YUNHAI 1-02          160.7 15.0  ecl  1900 142.2  44.7

2023-11-07 06:44:49 HJ-2E                324.3 15.0  ecl  1900 142.2  44.7
2023-11-07 06:46:40 HJ-2E                284.9 21.6  ecl  1900 142.2  44.7
2023-11-07 06:48:31 HJ-2E                245.4 15.0  ecl  1900 142.2  44.7

